DATE,DATA,OFFER,CONVERSION,REVENUE
18-04-2026,cd12ae,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,6,126.18
24-04-2026,cg01ab,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,3,58.89
07-04-2026,cc06ad,17239 - [GOVT] U.S. Concealed Carry- Concealed Carry Gun Laws & Reciprocity Map CPL,3,13.5
02-04-2026,ck12bg,17239 - [GOVT] U.S. Concealed Carry- Concealed Carry Gun Laws & Reciprocity Map CPL,3,13.5
23-03-2026,ck07aj,488 - Arctic Blast,3,150
21-03-2026,cc05ab,16985 - [HEALTH] RFK Method VSL (Approved Only),3,283.5
19-03-2026,cc05aa,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,3,58.89
15-03-2026,cc05aa,584 - [HEALTH] NerveFlow v2 VSL BH*,3,420
29-04-2026,cc06aj,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,2,42.06
23-04-2026,kg01ab,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,2,39.96
22-04-2026,xa09ne,129 - Nerve Fresh Private,2,240
17-04-2026,cc05ac,658 - EXCLUSIVE: Camouflage Electric Lighters,2,80
16-04-2026,dg01ac,658 - EXCLUSIVE: Camouflage Electric Lighters,2,80
14-04-2026,dg01aa,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,2,80
12-04-2026,ck07ak,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,2,80
08-04-2026,cc06af,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,2,80
08-04-2026,cc06ad,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,2,80
04-04-2026,cc06ae,17239 - [GOVT] U.S. Concealed Carry- Concealed Carry Gun Laws & Reciprocity Map CPL,2,9
03-04-2026,cg01ae,17239 - [GOVT] U.S. Concealed Carry- Concealed Carry Gun Laws & Reciprocity Map CPL,2,9
28-03-2026,ck07al,488 - Arctic Blast,2,100
23-03-2026,,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,2,42.06
20-03-2026,cc06ag,17239 - [GOVT] U.S. Concealed Carry- Concealed Carry Gun Laws & Reciprocity Map CPL,2,9
20-03-2026,cc05ac,472 - USA Military Savings - Veterans Savings Listicle,2,72.352
20-03-2026,cc06ah,529 - HEALTH - Warburg,2,140
19-03-2026,cd12aa,596 - Insurify Auto,2,46
19-03-2026,,600 - Elf Labs Reg A+,2,260
18-03-2026,,17532 - [HEALTH] GL Defend VSL,2,261
18-03-2026,cc05ab,488 - Arctic Blast,2,100
18-03-2026,,488 - Arctic Blast,2,100
18-03-2026,dg01ab,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),2,144
15-03-2026,cd12af,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,2,42.06
13-03-2026,cc06ak,235 - Breathe,2,260
02-05-2026,ag04br,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
01-05-2026,cc06aj,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,1,205
30-04-2026,cc06ag,562 - [SWEEPS] State Farm- Fire Emergency Kit,1,14.496
